,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
4091,Brothers Osborne,"Weed, Whiskey And Willie",02rxQiuRlHK7LFkrZGf3ii,52,0.684,0.339,4,-9.195,1,0.0349,0.299,0.000168,0.0938,0.318,124.05,260560,3
4092,Sleepy John,"Thunder & Rain Sounds, Pt. 03",5jUjAf39pb9fEz0mw2ItIv,54,0.142,0.406,1,-31.919,1,0.0677,0.00069,0.955,0.538,0.0481,140.945,64512,4
4093,Elliot Ziegler,Sleepless,7vvErBWSD1IW6fb7SZKbwa,58,0.493,0.0637,7,-21.522,1,0.0757,0.995,0.922,0.102,0.0694,77.899,155042,4
4094,Calvin Harris,One Kiss (with Dua Lipa) - Oliver Heldens Remix,7b4vbqgzMhbFa0wdjfftQJ,64,0.717,0.752,0,-6.933,1,0.065,0.251,0.000468,0.0802,0.14,123.97,281267,4
4095,Kasper Lindmark,Plant,2CW1y32fK1n1OL3W60OORY,57,0.561,0.213,2,-14.412,1,0.0455,0.758,0.89,0.106,0.123,87.989,70916,4
4096,Tyler Childers,Whitehouse Road (Live),7E5UxJ0cGdN2cKlzNBobaY,52,0.516,0.433,0,-8.881,1,0.0292,0.768,0.0,0.724,0.463,154.755,274973,4
4097,Jeremih,Imitate,3bTSIHFVorXxkPKykuABt6,55,0.879,0.373,9,-9.174,1,0.0629,0.158,7.45e-05,0.0767,0.524,108.031,206733,4
4098,SHY Martin,Lose You Too,5JkUNbYSn06ghlmu0NRUMf,60,0.445,0.357,7,-9.163,1,0.0445,0.153,0.0,0.356,0.159,147.062,186463,4
4099,Birdman,Ride,6lVO5cW3inLyzbKbm5CHwd,51,0.846,0.707,8,-4.462,1,0.103,0.0784,0.0,0.297,0.249,108.984,252213,4
4100,YBN (Young Boss N*ggas),Bread Winners,7r81Tfgk0ECt7FXPSUrAPd,53,0.926,0.535,5,-8.778,0,0.273,0.0314,0.0,0.122,0.726,94.716,145115,4
4101,Jeff Bernat,Changes,6YKb5UMzDOtfCfbPvJZ8XT,60,0.474,0.283,6,-8.25,0,0.143,0.688,5.55e-06,0.087,0.437,80.336,228571,4
4102,Forrest.,Grandpop's Uke,1DaKKdbaXf6R6m3kybY01D,54,0.924,0.637,10,-4.823,1,0.454,0.277,0.0,0.339,0.597,130.055,246506,4
4103,Only The Family,"Game (feat. Lil Durk, Tee Grizzley, Sada Baby & YNW Melly)",2rmtuIBWYzZZb7P2QU0QO6,52,0.559,0.648,10,-9.371,0,0.513,0.372,0.0,0.132,0.21,87.831,170438,1
4104,DJ Durel,Hot Summer,3fEpuoSr8ufvyRR7s2jB3U,57,0.918,0.632,1,-6.979,1,0.278,0.0236,0.0,0.378,0.396,92.011,231482,4
4105,Ice Nine Kills,Thank God It's Friday,6eHkHIGGcGatFhhqeuRWFN,54,0.359,0.983,10,-3.834,1,0.262,0.00438,0.0,0.32,0.145,158.03,263640,4
4106,Lauv,Bracelet,5WAD7GRAHPQUy9Il1hM7wL,59,0.652,0.737,7,-5.046,1,0.035,0.195,0.0,0.224,0.274,114.007,262103,4
4107,City Morgue,Sk8 Head,07miQb315ezd5obb3PPzQB,55,0.638,0.946,10,-3.685,0,0.315,0.186,0.0,0.399,0.583,85.015,151107,4
4108,Pi’erre Bourne,Hacked My Instagram,47H8NFQgMR0mAX6eiJSc5r,53,0.713,0.51,2,-7.416,1,0.0765,0.0143,3.58e-06,0.333,0.172,81.441,120778,4
4109,Bazzi,Somebody,0spaxhg6lGn0rOGCH5I0LS,55,0.49,0.743,0,-4.201,0,0.0915,0.345,0.0,0.183,0.137,99.158,170400,4
4110,Charlie Puth,If You Leave Me Now (feat. Boyz II Men),5QLAHKawoQwVRNf1waaVW7,58,0.362,0.268,6,-7.757,0,0.0399,0.909,0.0,0.15,0.394,81.912,243160,4
4111,In Love With a Ghost,something easy,3ERiZbndVXtCGXIREDHKgD,56,0.895,0.172,8,-25.24,1,0.0774,0.319,0.812,0.0828,0.922,119.958,62000,1
4112,Sonta,You Aint Shit,4vjpIcueKtCnFVvdwMAg6J,52,0.59,0.717,4,-6.191,1,0.066,0.405,0.0,0.34,0.281,110.809,175148,4
4113,Russ,Dangerous,0lfXZJ0HesdrdsPXyNHXXC,54,0.709,0.682,0,-6.213,1,0.268,0.085,5.84e-06,0.0979,0.16,136.943,169013,4
4114,Kodak Black,In the Flesh,15eaTEZMA2CqOxBvyuosLI,53,0.735,0.521,1,-7.336,1,0.275,0.595,0.0,0.12,0.538,173.977,188910,4
4115,Philanthrope,Silence,2J8XWGtQb2PFtuHjyaNow3,55,0.651,0.183,9,-9.388,0,0.056,0.838,0.925,0.0891,0.687,151.971,105101,4
4116,Wheeler Walker Jr.,I Like Smoking Pot (A Lot),3uR8oTCMvM1OuwAx4JjRis,52,0.659,0.561,2,-8.318,1,0.0297,0.0203,7.63e-05,0.769,0.369,131.723,208427,4
4117,Gorillaz,Souk Eye,4fjzDf54eBNOlW45mNe14U,57,0.64,0.853,2,-7.996,0,0.031,0.43,0.711,0.156,0.829,124.122,274760,4
4118,A Perfect Circle,The Doomed,44OUZyiPnJc4pOZw4J6pid,57,0.367,0.903,4,-5.956,0,0.175,0.0477,0.00124,0.235,0.239,106.329,281781,3
4119,Nas,Adam and Eve,0BSPhsCKfwENstErymcD80,58,0.624,0.803,9,-5.107,0,0.218,0.0453,0.0,0.318,0.172,92.401,250760,4
4120,Framing Hanley,Puzzle Pieces,1fa5xpAkZOkOhEE4jJfbFk,55,0.508,0.749,2,-5.321,1,0.0488,0.00106,0.0,0.0594,0.245,136.135,220387,4
4121,Robyn,Honey,3olYZQTYOLYNImERBnZZqm,51,0.652,0.604,11,-8.666,0,0.101,0.0179,0.000589,0.119,0.068,115.953,294003,4
4122,Wage War,Johnny Cash - Stripped,4sBOU30e7J2KF2VzBwDG2M,54,0.49,0.615,4,-7.878,0,0.0286,0.386,0.0,0.0814,0.11,109.985,216000,4
4123,Outlaw,Tell It to the Bottle (feat. Crucifix),5fk1AIw7aq6KrFiVw9cLXP,51,0.662,0.642,1,-6.117,0,0.0709,0.0412,0.0,0.0832,0.415,144.005,281281,4
4124,5 Seconds of Summer,Monster Among Men,7CQN84rMdkBzXJVsvefOM6,58,0.495,0.678,0,-4.627,1,0.0583,0.0918,0.0,0.078,0.475,166.105,192332,4
4125,Saba,LOGOUT,0Q8A7MPsoFg72xcVFBsS8Q,53,0.787,0.382,1,-9.983,1,0.45,0.0102,0.0,0.092,0.392,86.779,150108,4
4126,Colde,Your Dog Loves You (feat. Crush),2XdyebP7KxClMOse2C5iyA,58,0.667,0.234,9,-11.909,1,0.0306,0.928,3.33e-05,0.149,0.142,101.929,270002,4
4127,HARDY,THROWBACK,7fToSlGPKlugVUCAZWvydi,52,0.621,0.706,0,-6.371,1,0.0341,0.217,0.0,0.109,0.521,124.076,203674,4
4128,William Black,Take Me,3kubgykmOVjRMK1hmgYsG6,54,0.479,0.746,4,-6.0,1,0.178,0.00914,3.38e-05,0.117,0.322,159.99,192000,4
4129,BTS,Her,3HhVmd5y8BI1s2R4z9rQKW,58,0.481,0.927,3,-5.704,1,0.27,0.317,0.0,0.0583,0.448,88.931,228613,4
4130,Neto Bernal,Si Quieres,2pOES6MlMdLnp8X0tKVEUo,61,0.635,0.385,11,-4.984,0,0.0261,0.7,0.0,0.126,0.497,89.996,272987,4
4131,Clairo,B.O.M.D.,45GLZ5tAhzkkb9NznATAN7,54,0.496,0.476,2,-8.123,1,0.072,0.509,3.42e-06,0.127,0.489,95.894,159942,4
4132,Lila Drew,faded/2am (feat. GoldLink),5JBNoDRG4xWjGttyGHigs1,53,0.579,0.472,2,-10.051,0,0.337,0.61,1.66e-05,0.103,0.219,134.977,243387,4
4133,AJR,Role Models,2sDjsX3RCmWXSxRntg7LXz,50,0.653,0.425,7,-6.253,1,0.0264,0.466,0.0,0.273,0.484,101.795,192174,3
4134,Moneybagg Yo,FWM (feat. Lil Baby),1UrZtZSwQFi4slalewKEtd,51,0.551,0.603,7,-6.739,1,0.319,0.177,0.0,0.102,0.627,97.886,188668,3
4135,$uicideBoy$,WAR TIME ALL THE TIME,0muyqlnerINIqPQ3rTMAaI,54,0.728,0.662,7,-8.341,1,0.0721,0.00752,0.0,0.441,0.146,134.902,145582,4
4136,DCappella,Friend Like Me,4Q52FZXwg6MzwdqF4kdAyq,56,0.737,0.74,2,-4.83,1,0.0877,0.316,0.0,0.16,0.85,105.075,139733,4
4137,Rauw Alejandro,T.T.I.,4gPpYLervKt4cXmhUjpYLj,64,0.764,0.701,6,-5.929,0,0.182,0.312,0.0,0.0852,0.78,94.924,154093,4
4138,Johnny Orlando,What If,4v7DgEMw6EvYyuQ4eWFD9l,61,0.735,0.584,1,-5.047,1,0.14,0.189,0.0,0.125,0.395,93.016,219187,4
4139,Bear McCreary,God of War,6ZMwwuUOx8kefl32gWOjtY,60,0.202,0.44,8,-10.112,1,0.0357,0.291,0.94,0.102,0.144,143.847,246627,4
4140,Grupo Firme,Hasta Que un día,007EFIByaEW4dgEcIbfBg9,60,0.684,0.564,10,-6.852,1,0.0297,0.425,0.0,0.152,0.368,134.958,170627,4
4141,YNW Melly,Medium Fries,5hzee9MWDekpedgNpR8bZQ,52,0.69,0.555,0,-7.791,1,0.0568,0.0549,0.0,0.115,0.571,146.983,211853,4
4142,Nohidea,entheogen,5lm33OxxPj3m8RnGAiPfMN,56,0.296,0.429,10,-10.331,0,0.0619,0.271,0.00439,0.134,0.0932,80.956,108942,4
4143,Tierra Whack,Fruit Salad,0IUWe1lprVhev4JwubwNMF,53,0.832,0.793,6,-5.023,1,0.0392,0.503,0.00108,0.0901,0.919,139.982,60000,4
4144,Tash Sultana,Cigarettes,4eFTvwsYlTC0b0fjqxmrx7,51,0.563,0.755,11,-5.048,0,0.248,0.0319,7.59e-05,0.0562,0.576,158.027,322716,4
4145,Luv.Ly,Time Flies. (Withluv'),5sdOmuLCfoNiXwUxxcD1nK,58,0.353,0.494,7,-7.982,1,0.0548,0.786,0.111,0.61,0.267,80.206,83478,4
4146,Nao,Drive and Disconnect,6pEAd0UjznaKABT7WLLvmC,60,0.818,0.745,7,-8.172,0,0.0898,0.244,0.0588,0.135,0.534,116.011,210173,4
4147,Neovaii,Crash,4Q7x2zwXG97jfvG7GdOsb3,58,0.677,0.792,11,-5.034,0,0.13,0.00862,1.58e-06,0.1,0.195,139.923,226286,4
4148,sophie meiers,Something About You,4WpawRrVBCjPtmvlEmQdmc,53,0.809,0.338,11,-11.03,0,0.0349,0.722,0.34,0.113,0.508,120.066,220000,4
4149,Trilla Kid,Zoom,60sHu6CKksg8ua4jktvxw8,53,0.748,0.462,8,-11.503,1,0.365,0.0942,2.95e-06,0.145,0.491,159.049,211321,4
4150,The Piano Guys,A Million Dreams,4v6EUO6tC8RlZDvJ3DBV86,56,0.576,0.209,10,-19.572,1,0.0418,0.987,0.913,0.11,0.262,139.88,285827,4
4151,Wifisfuneral,Juveniles (feat. YBN Nahmir),3zCbbePDsZQJ0iHkqGXSjG,53,0.625,0.479,1,-8.768,1,0.272,0.0562,0.0,0.0715,0.555,98.027,161698,4
4152,Anderson .Paak,Cheers (feat. Q-Tip),4qNijbGeHqlcFWrGrATFOX,56,0.727,0.518,2,-7.825,1,0.396,0.0888,0.0,0.0893,0.485,88.255,334733,4
4153,Jeremy Zucker,selfish,6D5zOotZNjLN98bXOfhAYm,56,0.536,0.413,7,-9.008,1,0.385,0.521,1.71e-06,0.104,0.668,80.814,198907,4
4154,Rayy Dubb,Thuggin By Ma Self,7DfcL0itvjDbILO60RmPtr,52,0.74,0.521,2,-8.286,1,0.186,0.387,0.0,0.0756,0.564,145.001,168750,4
4155,Peach Pit,Techno Show,0a0EYuSVqeVqV8kjN9bFYC,54,0.605,0.724,1,-7.729,0,0.0441,0.121,0.431,0.108,0.898,89.403,226613,4
4156,Charlie Puth,Change (feat. James Taylor),17RMnDmv5CEo3s0tmipRyb,61,0.502,0.413,4,-7.373,1,0.039,0.872,0.0,0.213,0.474,175.507,217560,4
4157,Harris Cole,"Safe, Now",2KM9wehCwcM1GDVE0qxNGQ,55,0.534,0.0718,3,-26.256,1,0.054,0.829,0.93,0.0842,0.064,120.11,256000,4
4158,Blood Orange,Saint,2PzWUwFXApjQBZzKMl4Hd6,56,0.795,0.629,5,-8.704,0,0.0745,0.043,0.000154,0.378,0.0667,100.803,192010,4
4159,UVERworld,CORE PRIDE,6VQGwkK0U0YcLJcr348Wqz,58,0.468,0.97,2,-2.974,0,0.179,0.00629,0.0,0.253,0.499,92.732,257560,4
4160,Adam Jensen,The Hunter,1MKUcXTBVS5QP49Es4wt7M,58,0.527,0.762,4,-3.36,0,0.078,0.22,0.000283,0.0764,0.564,82.464,210972,4
4161,Pentatonix,Where Are You Christmas?,7klqcDdyk3laSiOtxNrygB,55,0.254,0.318,10,-6.992,1,0.0312,0.355,0.0,0.109,0.2,114.636,210533,4
4162,Chase Atlantic,Numb to the Feeling,102cCjW3CnC3sws3qOhie8,57,0.695,0.737,5,-5.75,0,0.122,0.232,0.0,0.136,0.248,129.999,227587,4
4163,The Arthur P. Dahl Ensemble,Let It Snow! Let It Snow! Let It Snow!,4f7jfX8na4oknQOpnDqI7g,55,0.59,0.263,10,-12.903,1,0.0373,0.968,0.14,0.141,0.479,120.357,166000,4
4164,juan karlos,Buwan,5f9808hpiCpuNyqqdXmpF2,68,0.631,0.381,7,-11.808,1,0.04,0.447,0.000171,0.0902,0.36,126.008,343446,4
4165,Farruko,Inolvidable - Remix,6nqAD8ch0ZUUFojMFf2xdT,58,0.663,0.804,8,-4.102,0,0.0582,0.143,0.00126,0.279,0.865,172.006,279370,4
4166,Mario,Care for You,3cW7ETAXGDAM2aNN45DuNq,57,0.567,0.465,1,-7.581,1,0.0432,0.69,0.0,0.102,0.287,137.92,212688,4
4167,Tim McGraw,Neon Church,4sm4HhZqRsUdWaW4QZdxg0,52,0.471,0.791,0,-4.817,1,0.0506,0.0836,0.0,0.0868,0.355,128.007,213399,4
4168,Saba,BROKEN GIRLS,5AdhyCxxguV1wXde1vqgWC,53,0.663,0.572,10,-10.593,0,0.102,0.322,0.0,0.171,0.494,117.051,277333,4
4169,Loving Caliber,I Am Falling For You,6t2J8WQZv1bl0GN1bsMB66,55,0.659,0.716,10,-7.641,0,0.0587,0.033,4.28e-06,0.06,0.919,172.079,190558,4
4170,Blac Youngsta,Heavy Camp (feat. Travis Scott),5lBzjMCr2QRoNlleZq6l7P,53,0.726,0.576,11,-10.365,1,0.134,0.0531,0.0,0.0713,0.129,159.12,194590,4
